affiliation-name	city	country	aff_id
Icahn School of Medicine at Mount Sinai	New York	United States	60012981
The Royal Institute of Technology (KTH)	Stockholm	Sweden	60002014
Ludwig-Maximilians-Universität München	Munich	Germany	60028717
Dr. D.Y. Patil Vidyapeeth Deemed University, Pune	Pune	India	60105038
California Institute of Technology	Pasadena	United States	60031581
Xinxiang Medical College	Xinxiang	China	60021296
QIMR Berghofer Medical Research Institute	Brisbane	Australia	60025029
Zibo Central Hospital	Zibo	China	100386761
Shanxi Agricultural University	Taiyuan	China	60087832
Osaka University	Suita	Japan	60024322
King's College Hospital NHS Foundation Trust	London	United Kingdom	60029685
Duke Clinical Research Institute	Durham	United States	60030982
Institute of Geophysics and Planetary Physics			117839979
IRCCS San Raffaele Scientific Institute	Milan	Italy	60082964
Universiteit Antwerpen	Antwerpen	Belgium	60012937
UCL Medical School	London	United Kingdom	60029950
Texas A and M University	College Station	United States	60020547
Aswan Heart Center	Aswan	Egypt	112866840
Departments of Surgery	Murnau	Germany	118959424
City University of Hong Kong	Kowloon	Hong Kong	60013983
Istituto di Ricerche Farmacologiche Mario Negri	Milan	Italy	60029411
David Geffen School of Medicine at UCLA	Los Angeles	United States	60005247
CSIC - Instituto de Quim&iacute;ca M&eacute;dica (IQM)	Madrid	Spain	60011155
Catalan Institute for Water Research	Girona	Spain	60110375
University of Pennsylvania	Philadelphia	United States	60006297
European Organization for Nuclear Research	Geneva	Switzerland	60019778
Morinomiya University of Medical Sciences	Suminoe-ku	Japan	119398566
Beihang University	Beijing	China	60013789
USDA ARS Beltsville Agricultural Research Center	Beltsville	United States	60000635
University of Alberta	Edmonton	Canada	60030835
Charité – Universitätsmedizin Berlin	Berlin	Germany	60026245
Westfälische Wilhelms-Universität Münster	Munster	Germany	60000401
Harvard University	Cambridge	United States	60009982
Panepistimion Pireos	Piraeus	Greece	60010667
Scripps Research Translational Institute	San Diego	United States	106443443
UC Davis School of Medicine	Sacramento	United States	60023317
Hiroshima University	Higashihiroshima	Japan	60030788
Keele University, School of Medicine	Staffordshire	United Kingdom	60019202
King Abdullah University of Science and Technology	Jeddah	Saudi Arabia	60092945
ETH Zürich	Zurich ZH,	Switzerland	60025858
Hebei Medical University	Shijiazhuang	China	60009884
Frankfurt Institute for Advanced Studies	Frankfurt am Main	Germany	60083550
Mae Fah Luang University		Thailand	60020524
Azienda Ospedaliera Di Padova	Padua	Italy	60027298
Lunds Universitet	Lund	Sweden	60029170
Shimane Institute for Industrial Technology	Matsue	Japan	60008596
Technical University of Berlin	Berlin	Germany	60011604
Washington University School of Medicine in St. Louis	St Louis	United States	60022756
University of New South Wales (UNSW) Australia	Sydney	Australia	60028333
Feng Chia University	Taichung	Taiwan	60004879
Georgia Institute of Technology	Atlanta	United States	60019647
New York Medical College	Valhalla	United States	60029961
Radboud University Nijmegen Medical Centre	Nijmegen	Netherlands	60002573
Rudolfstifung Hospital	Vienna	Austria	60030339
Thomas Jefferson University	Philadelphia	United States	60015277
University of Texas at Arlington	Arlington	United States	60003467
CSIC-UPV - Instituto de Tecnología Química (ITQ)	Valencia	Spain	60068624
University of Minnesota Twin Cities	Minneapolis	United States	60029445
Bergische Universitat Wuppertal	Wuppertal	Germany	60022995
Boston University	Boston	United States	60019674
Ronald Reagan UCLA Medical Center	Los Angeles	United States	60032023
Universitätsklinikum des Saarlandes Medizinische Fakultät der Universität des Saarlandes	Homburg	Germany	60023686
Columbia University Medical Center	New York	United States	60027565
Ospedale San Bortolo	Vicenza	Italy	60025304
International Agency for Research on Cancer	Lyon	France	60024610
Zhejiang University Ningbo Institute of Technology	Ningbo	China	60108761
Centro Brasileiro de Pesquisas Físicas	Rio de Janeiro	Brazil	60008132
National Institute on Aging	Bethesda	United States	60017252
Tufts University	Medford	United States	60023143
Yamanashi Central Hospital	Yamanashi	Japan	100330267
Université de Montpellier	Montpellier	France	60108488
Hokkaido University	Sapporo	Japan	60014652
Max Planck Institut für Astronomie	Heidelberg	Germany	60007268
National Cancer Institute	Bethesda	United States	60013409
University of Pittsburgh Graduate School of Public Health	Pittsburgh	United States	60003742
London School of Hygiene & Tropical Medicine	London	United Kingdom	60031331
Rutgers, The State University of New Jersey	New Brunswick	United States	60030623
Howard University	Washington, D.C.	United States	60012771
Université libre de Bruxelles (ULB)	Brussels	Belgium	60000145
Ohio State University Comprehensive Cancer Center	Columbus	United States	60002058
University of Michigan, Ann Arbor	Ann Arbor	United States	60025778
N.N. Vorozhtsov Novosibirsk Institute of Organic Chemistry of the Siberian Branch, Russian Academy of Sciences	Novosibirsk	Russian Federation	60096879
University of Mumbai	Mumbai	India	60025929
Karolinska Institutet	Stockholm	Sweden	60012311
Aarhus Universitet	Aarhus	Denmark	60029616
The Johns Hopkins School of Medicine	Baltimore	United States	60001117
Wuhan University of Science and Technology	Wuhan	China	60014643
Medical University of South Carolina	Charleston	United States	60023222
Nanchang University	Nanchang	China	60008332
University of St Andrews	St. Andrews	United Kingdom	60022132
Deakin University	Geelong	Australia	60018805
King's College London	London	United Kingdom	60011520
Xiamen University	Xiamen	China	60018205
Industrial and Engineering Chemistry	Washington	United States	101479506
Texas A and M University-Kingsville	Kingsville	United States	60032297
University of Heidelberg	Heidelberg	Germany	109268180
Mahidol University	Nakon Pathom	Thailand	60012718
Santa Cruz Institute for Particle Physics	Santa Cruz de la Palma	United States	60085982
Stabilité génétique et oncogenèse	Villejuif	France	60106080
Birmingham Children's Hospital	Birmingham	United Kingdom	60022357
University of Washington, Seattle	Seattle	United States	60015481
Simula Research Laboratory	Barum	Norway	60000645
Harbin Engineering University	Harbin	China	60003353
Kitasato University	Tokyo	Japan	60006321
Universität Göttingen	Gottingen	Germany	60031514
Laboratoire de l'Accélérateur Linéaire	Orsay	France	60073296
Beijing Tongren Hospital	Beijing	China	60073453
Virginia Commonwealth University	Richmond	United States	60002476
Harvard Medical School	Boston	United States	60002746
Chongqing University	Chongqing	China	60023380
University of Reading	Reading	United Kingdom	60012197
Chongqing Medical University	Chongqing	China	60020870
University Medical Center Utrecht	Utrecht	Netherlands	60032724
Ohio State University	Columbus	United States	60003500
Tongji University	Shanghai	China	60073652
Università Cattolica del Sacro Cuore, Rome	Rome	Italy	60031984
Leiden Institute of Chemistry	Leiden	Netherlands	60070180
Chapman University	Orange	United States	60016569
International University of La Rioja	Logrono	Spain	60104175
State University of New York Upstate Medical University	Syracuse	United States	60018741
Tianjin University of Technology	Tianjin	China	60026990
Göteborg University, Sahlgrenska Academy	Gothenburg	Sweden	60027675
Institute for Translational Epidemiology	New York	United States	116774431
Deutsches Elektronen-Synchrotron (DESY)	Hamburg	Germany	60030635
Universite Paris Descartes	Paris	France	60028950
SRM Institute of Science and Technology	Chennai	India	60014340
Istituto Nazionale di Fisica Nucleare, Sezione di Pisa	Pisa	Italy	60113665
UCL	London	United Kingdom	60022148
Southampton General Hospital	Southampton	United Kingdom	60021722
Universidad de Cantabria	Santander	Spain	60015179
N.D. Zelinsky Institute of Organic Chemistry, Russian Academy of Sciences	Moscow	Russian Federation	60014039
Monash University	Melbourne	Australia	60019578
Tangdu Hospital, Fourth Military Medical University	Xi'an	China	60088188
University of Glasgow	Glasgow	United Kingdom	60001490
Southwest University of Finance and EcoNomics	Chengdu	China	60018540
Centre Hospitalier Universitaire de Liege	Liege	Belgium	60016829
Seattle Science Foundation	Seattle	United States	113134808
UT Medical Branch at Galveston	Galveston	United States	60014569
University of Edinburgh	Edinburgh	United Kingdom	60027272
Tianjin University of Sport	Tianjin	China	60088183
Kyoto University Faculty of Medicine	Kyoto	Japan	60030354
Saint Michael's Hospital University of Toronto	Toronto	Canada	60017018
National Cancer Center Research Institute	Tokyo	Japan	60023890
Yale University	New Haven	United States	60005455
Artemis One Health	Utrecht	Netherlands	114354997
Otto von Guericke University of Magdeburg	Magdeburg	Germany	60018362
Indrashil University	Kadi	India	120671770
Towa Hospital	Tokyo	Japan	100387732
University of Sussex	Sussex	United Kingdom	60017317
Barrow Neurological Institute	Phoenix	United States	60001362
Queensland University of Technology QUT	Brisbane	Australia	60011019
Pacific Northwest National Laboratory	Richland	United States	60023471
Anhui Medical University	Hefei	China	60014454
Helsingin Yliopisto	Helsinki	Finland	60002952
Brookhaven National Laboratory	Upton	United States	60006221
Dalian University of Technology	Dalian	China	60004538
The University of Adelaide	Adelaide	Australia	60009512
Faculty of Engineering and Applied Science	Oshawa	Canada	106924210
H. Lundbeck A/S	Copenhagen	Denmark	60027906
Southwest China Normal University	Chongqing	China	60023863
University of Tokyo	Tokyo	Japan	60025272
CSIC - Instituto de Cat&aacute;lisis y Petroleoqu&iacute;mica (ICP)	Madrid	Spain	60021246
Medizinische Universitat Wien	Vienna	Austria	60011394
Ministry of Agriculture and Rural Affairs	Harbin	China	122033459
IFR 37 des Neurosciences	Strasbourg	France	60033130
University of Wisconsin-Madison	Madison	United States	60032179
Shanghai Maritime University	Shanghai	China	60025785
Cornell University	Ithaca	United States	60007776
Weatherall Institute of Molecular Medicine	Oxford	United Kingdom	60001633
National University of Defense Technology	Changsha	China	60024350
University of Newcastle, Australia	Callaghan	Australia	60010571
University of Cambridge	Cambridge	United Kingdom	60031101
Deutsches Herzzentrum Berlin	Berlin	Germany	60009113
Rockefeller University	New York	United States	60026827
National Institute of Allergy and Infectious Diseases	Bethesda	United States	60017336
University of Illinois at Chicago	Chicago	United States	60027561
University of Bern	Bern	Switzerland	60020486
University of Regina	Regina	Canada	60030101
National Institute of Neurological Disorders and Stroke	Bethesda	United States	60013780
Shahid Beheshti University of Medical Sciences, Research Institute for Endocrine Science	Tehran	Iran	60022761
Tokyo Women's Medical University	Tokyo	Japan	60025639
SAS	Cary	United States	100420443
Universität Bonn	Bonn	Germany	60007493
Keio University School of Medicine	Tokyo	Japan	60025252
Standort Friedrichstadt	Dresden	Germany	118664262
The University of Hong Kong	Pokfulam	Hong Kong	60006541
Friedrich Schiller Universität Jena	Jena	Germany	60029507
University Hospital Rechts der Isar	Munich	Germany	60103459
Michael E. DeBakey VA Medical Center	Houston	United States	60011641
Stanford University	Palo Alto	United States	60012708
KK		Japan	122755610
Northeast Normal University	Changchun	China	60009509
National Institute of Advanced Industrial Science and Technology	Tokyo	Japan	60024621
Fudan University	Shanghai	China	60009860
University of Toronto	Toronto	Canada	60016849
Max Planck Institute for Solid State Research	Stuttgart	Germany	60016924
Denver Health	Denver	United States	60030563
University of Colorado Health Sciences Center	Denver	United States	60009866
Henan Polytechnic University	Jiaozuo	China	60025881
Oncofrance	Paris	France	102012753
Southeast University	Nanjing	China	60005244
Barts and The London School of Medicine and Dentistry	London	United Kingdom	60021435
Tufts University School of Medicine	Boston	United States	60015849
Universidade do Minho	Braga	Portugal	60020475
Amsterdam Public Health	Amsterdam	Netherlands	60117142
EndoCeutics Inc.	Quebec	Canada	108152615
Friedrich-Alexander-Universität Erlangen-Nürnberg	Erlangen	Germany	60000765
Lanzhou Institute of Chemical Physics Chinese Academy of Sciences	Lanzhou	China	60011549
Newcastle University, United Kingdom	Newcastle	United Kingdom	60006222
University of Chinese Academy of Sciences	Beijing	China	60027363
Southern Medical University	TongHe	China	60002593
Mahatma Gandhi University, Kottayam	Kottayam	India	60029694
German Institute of Human Nutrition	Nuthetal	Germany	60072296
Cardiff University	Cardiff	United Kingdom	60023998
The University of Sydney	Sydney	Australia	60025709
University of Maryland	College Park	United States	60020304
Hopital Cochin AP-HP	Paris	France	60019163
Tohoku University School of Medicine	Sendai	Japan	60016416
National Institute of Cancer Prevention and Research	Noida	India	117861512
China Medical University Taichung	Taichung	Taiwan	60006988
Medizinische Universitat Innsbruck	Innsbruck	Austria	60008222
Pennsylvania State University	University Park	United States	60001439
Northwestern University Feinberg School of Medicine	Chicago	United States	60013227
Vrije Universiteit Amsterdam	Amsterdam	Netherlands	60008734
Yanshan University	Qinhuangdao	China	60018465
Chinese University of Hong Kong	Shatin	Hong Kong	60002798
Washington Hospital Center	Washington, D.C.	United States	60026876
University of Pennsylvania, Health System	Philadelphia	United States	60023009
Bhabha Atomic Research Centre	Mumbai	India	60033473
Stanford University School of Medicine	Stanford	United States	60032838
Universiti Teknologi MARA	Shah Alam	Malaysia	60004351
Panjab University	Chandigarh	India	60018526
Imperial College Faculty of Medicine	London	United Kingdom	60020413
University of Minnesota School of Public Health	Minneapolis	United States	60013223
The University of British Columbia	Vancouver	Canada	60010365
Higashi Takarazuka Satoh Hospital	Takarazuka	Japan	100615979
Université de Rouen Normandie	Mont Saint Aignan	France	60032922
University of Bremen	Bremen	Germany	60008293
Aalborg Universitet	Aalborg	Denmark	60022134
University of Pittsburgh School of Medicine	Pittsburgh	United States	60001361
Universität Potsdam	Potsdam	Germany	60021763
Shanghai Jiao Tong University School of Medicine	Shanghai	China	60082819
New York University	New York	United States	60021784
University of Pittsburgh	Pittsburgh	United States	60015543
University of California, Davis	Davis	United States	60014439
University of Chicago Pritzker School of Medicine	Chicago	United States	60007541
University of Texas at Austin	Austin	United States	60013372
Anhui Normal University	Wuhu	China	60009559
Gunma University Faculty of Medicine	Maebashi	Japan	60005935
Morehouse College	Atlanta	United States	60026514
University of Wollongong	Wollongong	Australia	60011664
Handelshøyskolen BI	Oslo	Norway	60007996
National University of Singapore	Singapore City	Singapore	60017161
Anthony Nolan Trust	London	United Kingdom	60020641
Guizhou University	Guiyang	China	60005027
Osaka International Cancer Institute	Osaka	Japan	118424400
Japan Marrow Donor Program	Tokyo	Japan	100586495
Atommagkutató Intézete	Debrecen	Hungary	60002536
Università di Pisa	Pisa	Italy	60028868
Fujian Agriculture and Forestry University	Fuzhou	China	60004630
Northwestern University	Evanston	United States	60007363
Zhengzhou University	Zhengzhou	China	60018554
Seoul National University	Seoul	South Korea	60013682
Memorial Sloan-Kettering Cancer Center	New York	United States	60009343
Wake Forest University School of Medicine	Winston Salem	United States	60031437
National University of Ireland Galway	Galway	Ireland	60008539
Texas Heart Institute	Houston	United States	60023304
Louis Pasteur Center for Medical Research	Kyoto	Japan	100339524
Klinikum und Fachbereich Medizin Johann Wolfgang Goethe-Universität Frankfurt am Main	Frankfurt am Main	Germany	60009308
Kræftens Bekæmpelse	Copenhagen	Denmark	60017743
Groß Sarau		Germany	121067240
Baylor College of Medicine	Houston	United States	60002441
Erasmus University Medical Center	Rotterdam	Netherlands	60032114
Northeastern University China	Shenyang	China	60031863
Konkuk University	Seoul	South Korea	60000142
Istituto Nazionale di Fisica Nucleare, Sezione di Lecce	Lecce	Italy	60114718
St George's University of London	London	United Kingdom	60029329
Alma Mater Studiorum Università di Bologna	Bologna	Italy	60028218
Vanderbilt University School of Medicine	Nashville	United States	60006475
Purdue University College of Science	West Lafayette	United States	60028629
University of Nebraska Medical Center	Omaha	United States	60016261
Justus Liebig University Giessen	Giessen	Germany	60017134
Michigan State University	East Lansing	United States	60031707
UCL Institute of Neurology	London	United Kingdom	60019953
University of Texas Health Science Center at Houston	Houston	United States	60027512
University of Bristol, Faculty of Medicine and Dentistry	Bristol	United Kingdom	60014311
Netherlands Society of Cardiology	Utrecht	Netherlands	109499115
University of Tehran	Tehran	Iran	60022927
University of Valencia	Valencia	Spain	60002644
University of Jinan	Jinan	China	60103801
Goethe-Universität Frankfurt am Main	Frankfurt am Main	Germany	60007762
Universidade Federal de Sao Paulo	Sao Paulo	Brazil	60014992
Kwansei Gakuin University	Nishinomiya	Japan	60027395
Riken	Wako	Japan	60016648
National Research Centre	Cairo	Egypt	60014618
Centro Studi Medicina Avanzata (CESMAV)	Florence	Italy	119103604
Medizinische Universität Graz	Graz	Austria	60006224
Advisory Committee		Japan	120686685
Heinrich Heine Universität	Dusseldorf	Germany	60025310
Mayo Clinic in Jacksonville, Florida	Jacksonville	United States	60002333
Leiden University Medical Center - LUMC	Leiden	Netherlands	60015618
Universiteit Gent	Ghent	Belgium	60033316
Danmarks Tekniske Universitet	Lyngby	Denmark	60011373
Creighton University	Omaha	United States	60012028
University of Minnesota System		United States	60005745
Fritz Haber Institute of the Max Planck Society	Berlin	Germany	60008644
CVPath Institute, Inc.	Gaithersburg	United States	100317301
Universitätsklinikum Münster	Munster	Germany	60006490
Shandong Academy of Sciences	Jinan	China	60102439
Xi'an Shiyou University	Xi'an	China	60025279
Centre for Neuropsychopharmacology	London	United Kingdom	122769337
University of Karachi	Karachi	Pakistan	60061893
Çankaya Üniversitesi	Ankara	Turkey	60004384
Juntendo University School of Medicine	Tokyo	Japan	60009740
IRCCS Ospedale Pediatrico Bambino Gesù	Rome	Italy	60017905
Pennington Biomedical Research Center	Baton Rouge	United States	60021235
Institute of Physiologically Active Compounds of the Russian Academy of Science	Chernogolovka	Russian Federation	60109762
Cleveland Clinic Foundation	Cleveland	United States	60021160
Institute of Precision Mechanics and Control, Russian Academy of Sciences	Saratov	Russian Federation	60109768
University of Tokyo Hospital	Tokyo	Japan	60004225
College of Saint Benedict Saint John's University	Saint Joseph	United States	60000499
Helmholtz Center Munich  German Research Center for Environmental Health	Neuherberg	Germany	60024007
University of Massachusetts Amherst	Amherst MA	United States	60014313
Louisiana State University	Baton Rouge	United States	60007566
McMaster University, Faculty of Science	Hamilton	Canada	60106381
Kyushu University	Fukuoka	Japan	60011047
Nagoya University	Nagoya	Japan	60000264
University of Groningen, University Medical Center Groningen	Groningen	Netherlands	60006027
French Alliance for Cardiovascular Trials	Paris	France	115168881
Laboratório de Instrumentacao e Física Experimental de Partículas	Lisbon	Portugal	60022689
Johns Hopkins University	Baltimore	United States	60005248
Universidade Federal de Sao Carlos	Sao Carlos	Brazil	60013792
Nanjing University	Nanjing	China	60033100
Princeton University	Princeton	United States	60003269
State Key Laboratory of Astronautic Dynamics	Xi'an	China	108379015
Shandong University	Jinan	China	60031031
The University of Hong Kong, State Key Laboratory of Synthetic Chemistry	Hong Kong	Hong Kong	60115571
Jackson State University	Jackson	United States	60000238
Cardiovascular Research Foundation	New York	United States	60015884
Sapporo Medical University School of Medicine	Sapporo	Japan	60104575
University of Leeds	Leeds	United Kingdom	60012070
Cheng Hsin General Hospital	Taipei	Taiwan	60104361
Roswell Park Cancer Institute	Buffalo	United States	60022577
University of California, Los Angeles	Los Angeles	United States	60027550
Shanghai University of Electric Power	Shanghai	China	60082199
Weill Cornell Medical College	New York	United States	60007997
Cedars-Sinai Medical Center	Los Angeles	United States	60016173
Ontario Cancer Institute University of Toronto	Toronto	Canada	60008768
University of Manchester	Manchester	United Kingdom	60003771
Changchun University of Science and Technology	Changchun	China	60010955
University at Buffalo, State University of New York	Buffalo	United States	60032083
Toyo Gosei Co., Ltd	Ichikawa	Japan	60083371
Purdue University	West Lafayette	United States	60009254
The University of Hong Kong, Shenzhen Hospital	Shenzhen	China	60114500
Universität Leipzig Herzzentrum	Leipzig	Germany	60021641
Baskent Universitesi	Ankara	Turkey	60028644
Shanghai University	Shanghai	China	60023813
Kindai University	Higashiosaka	Japan	60000005
Uniwersytet Jagielloński Collegium Medicum	Krakow	Poland	60021323
Indiana University School of Medicine Indianapolis	Indianapolis	United States	60021947
University of South Florida, Tampa	Tampa	United States	60007740
Nagoya University School of Medicine	Nagoya	Japan	60020492
The British Museum	London	United Kingdom	60003455
Mayo Clinic	Rochester	United States	60005558
Kumamoto University	Kumamoto	Japan	60021120
Hôpital Universitaire Pitié Salpêtrière	Paris	France	60015622
University of Southern California	Los Angeles	United States	60029311
Universität zu Lübeck	Lübeck	Germany	60012408
Uniwersytet im. Adama Mickiewicza w Poznaniu	Poznan	Poland	60014168
IBM Research	Yorktown Heights	United States	60011048
Inha University, Incheon	Incheon	South Korea	60028876
University of Arizona	Tucson	United States	60010065
Tampereen Yliopisto	Tampere	Finland	60011170
Azienda Ospedaliera Civile M.P. Arezzo	Ragusa	Italy	60085201
Politecnico di Milano	Milan	Italy	60023256
Kyoto University	Kyoto	Japan	60011001
China Medical University Hospital Taichung	Taichung	Taiwan	60031941
Amsterdam UMC - Vrije Universiteit Amsterdam	Amsterdam	Netherlands	60001997
Mayo Medical School	Rochester	United States	60026829
Shanghai Advanced Research Institute, Chinese Academy of Sciences	Shanghai	China	60117397
Universitätsklinikum Gießen und Marburg, Standort Gießen	Giessen	Germany	60008248
McGill University, Macdonald Campus	Sainte-Anne-de-Bellevue	Canada	60059360
Cardiovascular Research Institute Maastricht	Maastricht	Netherlands	60070744
Western Psychiatric Institute & Clinic	Pittsburgh	United States	60028131
Istituto Italiano di Tecnologia	Genoa	Italy	60102151
Qingdao University	Qingdao	China	60030434
Hunan Normal University	Changsha	China	60014070
Académie des Sciences	Paris	France	100323898
Nature	Washington	United States	100460318
AntiCancer Incorporated	San Diego	United States	60011547
Osaka City University	Osaka	Japan	60013722
Kerckhoff-Klinik	Bad Nauheim	Germany	60072281
Korea University	Seoul	South Korea	60005273
IGBMC Institut de Genetique et de Biologie Moleculaire et Cellulaire	Illkirch-Graffenstaden	France	60017969
University Hospital Zurich Neurologische Klinik	Zurich	Switzerland	60019636
West China Hospital of Sichuan University	Chengdu	China	60073509
Indiana University-Purdue University Indianapolis	Indianapolis	United States	60024609
Universitätsklinikum Mannheim	Mannheim	Germany	60001972
Universite Paris-Sud XI	Orsay	France	60024652
Utrecht University	Utrecht	Netherlands	60007989
Massachusetts General Hospital	Boston	United States	60029929
Leibniz Institute for Catalysis	Rostock	Germany	60025221
University of Nottingham	Nottingham	United Kingdom	60015138
Clayton Foundation Laboratories for Peptide Biology	San Diego	United States	60023253
International University of Health and Welfare	Otawara	Japan	60024740
